Restaurant,Food Category,Item_Name,Item Description 2015,Servings Per Item 2015,Serving Size 2015,Serving Size Unit 2015,Servings Size Text 2015,Calories 2015,Carbohydrates (g) 2015,Protein (g) 2015,Menu_Item_ID
Subway,Sandwiches,"Meatball Marinara, 6 in","Meatball Marinara on 9 Grain Wheat Bread w/ Cucumbers, Green Peppers, Lettuce, Red Onions & Tomatoes w/out Cheese or Sauce, All Sandwiches, Simple $6 Menu, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,299,g,,480,59,21,758
Subway,Sandwiches,"Meatball Marinara, Footlong","Meatball Marinara w/ Marinara Sauce, All Sandwiches, Footlong",,598,g,,960,118,42,23913
Subway,Sandwiches,"Mega Melt Omelet on Flatbread, 6 in","Mega Melt Omelet on Flatbread w/ Regular Egg, Breakfast & Pizza, 6 in",,249,g,,560,43,32,26992
Subway,Sandwiches,"Mega Melt Omelet Sandwich w/ Egg White, 6 in","Mega Melt Omelet Sandwich on 9 Grain Wheat Bread w/ Egg White, 6 in Omelet Sandwich, Breakfast, 6 in",,241,g,,510,46,32,23868
Subway,Sandwiches,"Mega Melt Omelet Sandwich, 6 in","Mega Melt Omelet Sandwich on 9 Grain Wheat Bread w/ Regular Egg, 6 in Omelet Sandwich, Breakfast, 6 in",,240,g,,550,46,32,23867
Subway,Sandwiches,"Mega Melt Omelet w/ Egg White on Flatbread, 6 in","Mega Melt Omelet w/ Egg White on Flatbread, Breakfast & Pizza, 6 in",,249,g,,520,44,32,23980
Subway,Sandwiches,"Monterey Chicken Melt, 6","Monterey Chicken on 9 Grain Wheat Bread w/ Cucumbers, Green Peppers, Lettuce, Red Onions, Tomatoes & Monterey Cheddar w/out Sauce, All Sandwiches, Featured Products, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,245,g,,360,45,28,102298
Subway,Sandwiches,"Monterey Chicken Melt, Footlong","Monterey Chicken Melt w/ Monterey Cheddar Cheese, Spinach, Tomatoes, Cucumbers, Red Onion & Chicken Strips, All Sandwiches, Footlong",,490,g,,720,90,56,102300
Subway,Sandwiches,"Oven Roasted Chicken, 6 in","Oven Roasted Chicken on 9 Grain Wheat Bread w/ Cucumbers, Green Peppers, Lettuce, Red Onions & Tomatoes w/out Cheese or Sauce, All Sandwiches, Fresh Fit Choice, Low Fat Sandwiches, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,231,g,,320,47,23,440
Subway,Sandwiches,"Oven Roasted Chicken, Footlong","Oven Roasted Chicken, All Sandwiches, Footlong",,462,g,,640,94,46,442
Subway,Sandwiches,"Pastrami Melt, Big Hot, 6 in","Pastrami on 9 Grain Wheat Bread, Big Hot w/ Lettuce, Tomatoes, Onions, Green Peppers & Cucumbers, 6 in Limited Time Offer, Regional Subs, Sandwiches, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,287,g,,580,47,29,23869
Subway,Sandwiches,"Roast Beef, 6 in","Roast Beef on 9 Grain Wheat Bread w/ Cucumbers, Green Peppers, Lettuce, Red Onions & Tomatoes w/out Cheese or Sauce, All Sandwiches, Fresh Fit Choice, Low Fat Sandwiches, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,231,g,,320,45,24,701
Subway,Sandwiches,"Roast Beef, Footlong","Roast Beef, All Sandwiches, Footlong",,462,g,,640,90,48,713
Subway,Sandwiches,"Roast Beef, Kids","Roast Beef on Mini Wheat t w/ Lettuce, Tomatoes, Green Peppers, Red Onions & Cucumbers w/out Cheese or Sauce, Kids Meal, Fresh Fit For Kids; Choice of Adding Apple Slices & Milk",,144,g,,200,30,14,23932
Subway,Sandwiches,"Sausage, Egg & Cheese Omelet on Flatbread, 6 in","Sausage, Egg & Cheese Omelet on Flatbread w/ Regular Egg, Breakfast & Pizza, 6 in",,240,g,,510,43,28,23987
Subway,Sandwiches,"Sausage, Egg & Cheese, 6 in","Sausage, Egg & Cheese on 9 Grain Wheat Bread w/ Regular Egg, 6 in Omelet Sandwiches, Breakfast, 6' in",,231,g,,500,45,29,26987
Subway,Sandwiches,"Sausage, Egg White & Cheese Omelet on Flatbread, 6 in","Sausage, Egg White & Cheese Omelet on Flatbread, Breakfast & Pizza, 6 in",,240,g,,470,43,28,23986
Subway,Sandwiches,"Sausage, Egg White & Cheese Omelet Sandwich, 6 in","Sausage, Egg White & Cheese Omelet Sandwich on 9 Grain Wheat Bread w/ Egg White, 6 in Omelet Sandwich, Breakfast, 6 in",,231,g,,460,45,29,23871
Subway,Sandwiches,"Spicy Italian, 6 in","Spicy Italian on 9 Grain Wheat Bread w/ Pepperoni, Cucumbers, Green Peppers, Lettuce, Red Onions & Tomatoes w/out Cheese or Sauce, All Sandwiches, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,219,g,,480,46,20,581
Subway,Sandwiches,"Spicy Italian, Footlong","Spicy Italian, All Sandwiches, Footlong",,438,g,,960,92,40,23919
Subway,Sandwiches,"Steak & Cheese, 6 in","Steak & Cheese on 9 Grain Wheat Bread w/ American Cheese, Cucumbers, Green Peppers, Lettuce, Red Onions & Tomatoes w/out Sauce, All Sandwiches, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,242,g,,380,48,26,23874
Subway,Sandwiches,"Steak & Cheese, Footlong","Steak & Cheese, All Sandwiches, Footlong",,484,g,,760,96,52,34514
Subway,Sandwiches,"Steak, Egg & Cheese Omelet on Flatbread, 6 in","Steak, Egg & Cheese Omelet on Flatbread w/ Regular Egg, Breakfast & Pizza, 6 in",,225,g,,440,44,28,23990
Subway,Sandwiches,"Steak, Egg & Cheese on Flatbread, 3 in","Steak, Egg & Cheese on Flatbread, Breakfast, 3 in",,108,g,,210,22,13,23989
Subway,Sandwiches,"Steak, Egg & Cheese, 6 in","Steak, Egg & Cheese on 9 Grain Wheat Bread w/ Regular Egg & Cheese, 6 in Omelet Sandwiches, Breakfast, 6 in",,217,g,,430,47,28,102305
Subway,Sandwiches,"Steak, Egg White & Cheese Omelet on Flatbread, 6 in","Steak, Egg White & Cheese Omelet on Flatbread, Breakfast & Pizza, 6 in",,225,g,,400,45,28,23988
Subway,Sandwiches,"Steak, Egg White & Cheese Omelet Sandwich, 6 in","Steak, Egg White & Cheese Omelet Sandwich on 9 Grain Wheat Bread w/ Egg White, 6 in Omelet Sandwich, Breakfast, 6 in",,217,g,,390,47,28,23877
Subway,Sandwiches,"Steak, Egg White & Cheese on Flatbread, 3 in","Steak, Egg White & Cheese on Flatbread, Breakfast, 3 in",,108,g,,190,22,13,27816
Subway,Sandwiches,"Steak, Egg White & Cheese, Breakfast, 6 in","Steak, Egg White & Cheese Sandwich on 9 Grain Wheat Bread w/ American Cheese w/out Veggie or Sauce, Breakfast, 6 in",,216,g,,430,47,28,23876
Subway,Sandwiches,"Steak, Egg White & Cheese, Breakfast, Footlong","Steak, Egg White & Cheese, Breakfast, Footlong",,432,g,,860,94,56,102303
Subway,Sandwiches,"Subway Club, 6 in","Subway Club on 9 Grain Wheat Bread w/ Cucumbers, Green Peppers, Lettuce, Red Onions & Tomatoes w/out Cheese or Sauce, All Sandwiches, Fresh Fit Choice, Low Fat Sandwiches, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,238,g,,310,46,23,706
Subway,Sandwiches,"Subway Club, Footlong","Subway Club, All Sandwiches, Footlong",,476,g,,620,92,46,717
Subway,Sandwiches,"Subway Melt, 6 in","Subway Melt on 9 Grain Wheat Bread w/ Bacon, American Cheese, Cucumbers, Green Peppers, Lettuce, Red Onions & Tomatoes w/out Sauce, Sandwiches, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,236,g,,370,47,23,583
Subway,Sandwiches,"Subway Seafood Sensation, 6 in","Subway Seafood Sensation on 9 Grain Wheat Bread w/ Lettuce, Tomatoes, Onions, Green Peppers & Cucumbers, 6 in Limited Time Offer, Regional Subs, Sandwiches, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait, Apple Slices & Beverage",,233,g,,420,51,13,23887
Subway,Sandwiches,"Sunrise Subway Melt on Flatbread, 3 in","Sunrise Subway Melt on Flatbread, Breakfast, 3 in",,147,g,,240,23,16,23993
Subway,Sandwiches,"Sweet Onion Chicken Teriyaki, 6 in","Sweet Onion Chicken Teriyaki on 9 Grain Wheat Bread w/ Sweet Onion Sauce, Cucumbers, Green Peppers, Lettuce, Red Onions & Tomatoes w/out Cheese, All Sandwiches, Fresh Fit Choice, Simple $6 Menu, Featured Products, Low Fat Sandwiches, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,266,g,,370,57,25,435
Subway,Sandwiches,"Sweet Onion Chicken Teriyaki, Footlong","Sweet Onion Chicken Teriyaki w/ Chicken Strips & Sweet Onion Sauce, All Sandwiches, Footlong",,532,g,,740,114,50,439
Subway,Sandwiches,"The Big Philly Cheesesteak, 6 in","The Big Philly Cheesesteak on 9 Grain Wheat Bread w/ Cucumbers, Green Peppers, Lettuce, Onions & Tomatoes, 6 in Sandwiches, Sandwiches, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,297,g,,500,51,38,23947
Subway,Sandwiches,"Tuna, 6 in","Tuna on 9 Grain Wheat Bread w/ Cucumbers, Green Peppers, Lettuce, Red Onions & Tomatoes w/out Cheese or Sauce, All Sandwiches, Simple $6 Menu, 6 in; Choice of Adding: Chips, Cookies, Yogurt Parfait or Apple Slices & Beverage",,234,g,,480,44,20,793
Subway,Sandwiches,"Tuna, Footlong","Tuna w/ Mayo, All Sandwiches, Footlong",,468,g,,960,88,40,27745
